iter	Passed	Remaining
744	1286	440
745	1287	438
746	1289	436
747	1291	435
748	1293	433
749	1294	431
750	1296	429
751	1297	427
752	1299	426
753	1300	424
754	1301	422
755	1303	420
756	1304	418
757	1306	417
758	1307	415
759	1309	413
760	1310	411
761	1312	409
762	1313	408
763	1314	406
764	1316	404
765	1317	402
766	1320	401
767	1322	399
768	1323	397
769	1324	395
770	1326	393
771	1327	392
772	1329	390
773	1330	388
774	1331	386
775	1332	384
776	1335	383
777	1337	381
778	1338	379
779	1339	377
780	1341	376
781	1342	374
782	1344	372
783	1345	370
784	1346	368
785	1347	366
786	1349	365
787	1351	363
788	1352	361
789	1354	359
790	1355	358
791	1357	356
792	1359	354
793	1360	353
794	1362	351
795	1365	349
796	1367	348
797	1368	346
798	1370	344
799	1371	342
800	1373	341
801	1374	339
802	1375	337
803	1377	335
804	1379	334
805	1380	332
806	1382	330
807	1383	328
808	1384	326
809	1386	325
810	1388	323
811	1390	321
812	1391	320
813	1393	318
814	1395	316
815	1396	314
816	1398	313
817	1399	311
818	1401	309
819	1402	307
820	1403	306
821	1405	304
822	1406	302
823	1408	300
824	1409	299
825	1411	297
826	1412	295
827	1413	293
828	1415	291
829	1416	290
830	1417	288
831	1418	286
832	1419	284
833	1421	282
834	1422	281
835	1424	279
836	1426	277
837	1427	275
838	1428	274
839	1430	272
840	1431	270
841	1432	268
842	1434	267
843	1435	265
844	1436	263
845	1438	261
846	1440	260
847	1441	258
848	1443	256
849	1444	254
850	1446	253
851	1447	251
852	1448	249
853	1450	247
854	1451	246
855	1453	244
856	1455	242
857	1457	241
858	1458	239
859	1460	237
860	1461	235
861	1462	234
862	1464	232
863	1465	230
864	1466	228
865	1468	227
866	1470	225
867	1472	223
868	1473	222
869	1475	220
870	1476	218
871	1478	216
872	1479	215
873	1481	213
874	1482	211
875	1484	210
876	1486	208
877	1487	206
878	1489	204
879	1490	203
880	1491	201
881	1493	199
882	1494	198
883	1496	196
884	1497	194
885	1499	192
886	1501	191
887	1502	189
888	1504	187
889	1505	186
890	1506	184
891	1508	182
892	1509	180
893	1511	179
894	1513	177
895	1515	175
896	1516	174
897	1518	172
898	1519	170
899	1520	168
900	1522	167
901	1524	165
902	1525	163
903	1526	162
904	1528	160
905	1530	158
906	1531	157
907	1533	155
908	1534	153
909	1536	151
910	1537	150
911	1539	148
912	1540	146
913	1543	145
914	1544	143
915	1546	141
916	1548	140
917	1549	138
918	1550	136
919	1552	134
920	1553	133
921	1554	131
922	1556	129
923	1557	128
924	1559	126
925	1561	124
926	1563	123
927	1564	121
928	1565	119
929	1567	117
930	1568	116
931	1570	114
932	1571	112
933	1573	111
934	1575	109
935	1576	107
936	1578	106
937	1580	104
938	1581	102
939	1582	101
940	1584	99
941	1585	97
942	1587	95
943	1589	94
944	1591	92
945	1593	90
946	1594	89
947	1596	87
948	1597	85
949	1598	84
950	1600	82
951	1601	80
952	1603	79
953	1605	77
954	1606	75
955	1607	74
956	1609	72
957	1610	70
958	1612	68
959	1613	67
960	1614	65
961	1616	63
962	1618	62
963	1620	60
964	1621	58
965	1623	57
966	1624	55
967	1626	53
968	1627	52
969	1629	50
970	1630	48
971	1632	47
972	1633	45
973	1635	43
974	1636	41
975	1638	40
976	1639	38
977	1640	36
978	1642	35
979	1643	33
980	1644	31
981	1645	30
982	1647	28
983	1648	26
984	1650	25
985	1651	23
986	1652	21
987	1654	20
988	1655	18
989	1657	16
990	1658	15
991	1660	13
992	1661	11
993	1663	10
994	1665	8
995	1666	6
996	1667	5
997	1669	3
998	1671	1
999	1672	0
